"Name","Window","rmse_lreg","mae_lreg","Energy_Consumed"
"proud-sweep-1","2","4.76131421635826","3.7230064001126575","1.3421567643111606e-7"
"stoic-sweep-2","3","7.042669851116151","5.8709818482265375","1.342126047124263e-7"
"grateful-sweep-3","4","7.707953368836605","6.801239452726839","0.0000026148036063913577"
"crisp-sweep-4","5","8.026775478961499","6.900369809151848","6.738326899140803e-9"
"rich-sweep-5","6","8.03601022576081","6.927643186448281","8.20042955979261e-9"
