"Name","Window","LearningRate","MaxDepth","MinChildWeight","Gamma","rmse_XGB","mae_XGB","Energy_Consumed"
"confused-sweep-471","2","1","7","3","1","8.934935991469446","6.343422570407007","1.2803947405220444e-8"
"misunderstood-sweep-306","2","0.01","7","2","1","40.82765118809581","40.00199859884939","1.2721011000596464e-8"
"tough-sweep-16","2","0.01","1","4","0","41.97732003093159","41.01320014973302","2.1535819734026523e-8"
"logical-sweep-266","2","0.01","3","2","1","40.82765118809581","40.00199859884939","1.3309031025477856e-8"
"chocolate-sweep-401","2","1","1","1","1","7.191102911658445","5.568731551828692","1.8124164175914205e-8"
"eternal-sweep-431","2","1","3","3","1","9.10089347626456","6.506683924127393","1.2881764278694795e-8"
"feasible-sweep-346","2","0.1","3","2","1","6.829021575497908","5.121444775587512","2.1491791766139717e-8"
"splendid-sweep-116","2","0.1","3","4","0","6.77303091055276","5.163788957755796","2.1030278350938012e-8"
"drawn-sweep-6","2","0.01","1","2","0","41.97732003093159","41.01320014973302","1.1935674922243481e-8"
"genial-sweep-296","2","0.01","5","4","1","40.82765118809581","40.00199859884939","1.2296037847237233e-8"
"fresh-sweep-236","2","1","7","4","0","8.226917548897541","6.034420984280494","1.2269468353199249e-8"
"distinctive-sweep-391","2","0.1","7","3","1","7.593210859193856","5.650553008836314","1.2830568967198513e-8"
"genial-sweep-66","2","0.01","7","2","0","40.82765118809581","40.00199859884939","1.1285494466240682e-8"
"pious-sweep-36","2","0.01","3","4","0","40.82765118809581","40.00199859884939","2.1990692543138522e-8"
"radiant-sweep-181","2","1","3","1","0","8.326713613404642","5.896788408242503","1.1988151943569393e-8"
"leafy-sweep-316","2","0.01","7","4","1","40.82765118809581","40.00199859884939","1.237660300628502e-8"
"fresh-sweep-291","2","0.01","5","3","1","40.82765118809581","40.00199859884939","1.8061093193687664e-8"
"playful-sweep-131","2","0.1","5","3","0","7.530877411367945","5.562664646862397","1.2914529278052416e-8"
"northern-sweep-146","2","0.1","7","2","0","7.82512928591467","5.685545842521422","2.1072578229374508e-8"
"hardy-sweep-341","2","0.1","3","1","1","6.774537120985526","5.110276624125818","1.2943649901823544e-8"
"vibrant-sweep-286","2","0.01","5","2","1","40.82765118809581","40.00199859884939","1.5653478443103573e-8"
"noble-sweep-96","2","0.1","1","4","0","7.698260490682792","6.1238644369802175","1.2751728187494237e-8"
"rosy-sweep-241","2","0.01","1","1","1","41.97732003093159","41.01320014973302","1.29698202144684e-8"
"fresh-sweep-426","2","1","3","2","1","8.92934492614336","6.639015844332788","1.054725807446428e-8"
"dashing-sweep-31","2","0.01","3","3","0","40.82765118809581","40.00199859884939","1.0427461045562977e-8"
"volcanic-sweep-376","2","0.1","5","4","1","7.457730306107544","5.617698716883504","1.7176027007003037e-8"
"logical-sweep-216","2","1","5","4","0","8.581041016173984","6.180536846530052","1.256844897233754e-8"
"upbeat-sweep-176","2","1","1","4","0","7.191102911658445","5.568731551828692","1.286435787278606e-8"
"iconic-sweep-76","2","0.01","7","4","0","40.82765118809581","40.00199859884939","1.2438094057642957e-8"
"fancy-sweep-91","2","0.1","1","3","0","7.698260490682792","6.1238644369802175","1.2472226099286371e-8"
"gentle-sweep-416","2","1","1","4","1","7.191102911658445","5.568731551828692","1.2405929098425382e-8"
"graceful-sweep-11","2","0.01","1","3","0","41.97732003093159","41.01320014973302","9.073857009601246e-9"
"sweepy-sweep-111","2","0.1","3","3","0","6.722914567009894","5.091925938563192","1.1109097035715525e-8"
"rosy-sweep-361","2","0.1","5","1","1","7.704042555031616","5.5715391696068535","1.2392337100790329e-8"
"azure-sweep-151","2","0.1","7","3","0","7.601464843506828","5.722180117699408","1.3486190216301316e-8"
"serene-sweep-186","2","1","3","2","0","8.523159727119456","6.390088216867755","0"
"trim-sweep-276","2","0.01","3","4","1","40.82765118809581","40.00199859884939","1.6775607900222488e-8"
"graceful-sweep-121","2","0.1","5","1","0","7.7623765203414","5.601547547174268","1.2874596935085316e-8"
"fanciful-sweep-356","2","0.1","3","4","1","6.77303091055276","5.163788957755796","1.1911101172725264e-8"
"graceful-sweep-106","2","0.1","3","2","0","6.945937826006753","5.17791145275485","1.2959581152169143e-8"
"azure-sweep-81","2","0.1","1","1","0","7.698260490682792","6.1238644369802175","8.74211139110533e-9"
"morning-sweep-281","2","0.01","5","1","1","40.82765118809581","40.00199859884939","1.2300426711438682e-8"
"vivid-sweep-206","2","1","5","2","0","8.796051999994388","6.064733346065398","1.0009707303753305e-8"
"frosty-sweep-446","2","1","5","2","1","8.9159725851167","6.338696216017201","1.5225485638994642e-8"
"prime-sweep-51","2","0.01","5","3","0","40.82765118809581","40.00199859884939","1.2869477403935688e-8"
"youthful-sweep-56","2","0.01","5","4","0","40.82765118809581","40.00199859884939","1.232762246925429e-8"
"visionary-sweep-476","2","1","7","4","1","8.192745594877268","6.252850085842994","2.1224600605162578e-8"
"rose-sweep-466","2","1","7","2","1","8.383531089131049","5.932734189334992","1.5956180977936028e-8"
"comic-sweep-1","2","0.01","1","1","0","41.97732003093159","41.01320014973302","1.2158886480367277e-8"
"solar-sweep-366","2","0.1","5","2","1","7.632375609698633","5.608901918472781","2.3917053194458683e-8"
"fresh-sweep-251","2","0.01","1","3","1","41.97732003093159","41.01320014973302","1.2510837586635011e-8"
"daily-sweep-156","2","0.1","7","4","0","7.4951681943986275","5.63834147260112","1.3925124726989048e-8"
"flowing-sweep-451","2","1","5","3","1","8.691493206534005","6.162186077093308","1.9431692431529276e-8"
"solar-sweep-336","2","0.1","1","4","1","7.698260490682792","6.1238644369802175","1.2840808029497771e-8"
"fancy-sweep-201","2","1","5","1","0","8.9979050739115","6.375290202479209","1.2852070998026952e-8"
"good-sweep-46","2","0.01","5","2","0","40.82765118809581","40.00199859884939","1.2456843193275644e-8"
"sweepy-sweep-171","2","1","1","3","0","7.191102911658445","5.568731551828692","1.2858214435406504e-8"
"resilient-sweep-311","2","0.01","7","3","1","40.82765118809581","40.00199859884939","1.6779242684429444e-8"
"earthy-sweep-421","2","1","3","1","1","8.579004641889219","6.194962553159651","1.7747366683301556e-8"
"visionary-sweep-61","2","0.01","7","1","0","40.82765118809581","40.00199859884939","1.4319328625510432e-8"
"comic-sweep-381","2","0.1","7","1","1","8.087548215401474","5.8671334157636075","1.3096784586979183e-8"
"dutiful-sweep-161","2","1","1","1","0","7.191102911658445","5.568731551828692","1.25981733463555e-8"
"dulcet-sweep-191","2","1","3","3","0","8.906707974187183","6.386098977759575","2.1047416462351975e-8"
"pious-sweep-261","2","0.01","3","1","1","40.82765118809581","40.00199859884939","1.1663315865083254e-8"
"playful-sweep-246","2","0.01","1","2","1","41.97732003093159","41.01320014973302","1.7054182165641882e-8"
"skilled-sweep-351","2","0.1","3","3","1","6.869773224173986","5.192986686263545","1.0035304959501449e-8"
"copper-sweep-71","2","0.01","7","3","0","40.82765118809581","40.00199859884939","1.6690446869663192e-8"
"fine-sweep-86","2","0.1","1","2","0","7.698260490682792","6.1238644369802175","1.2452888946149364e-8"
"youthful-sweep-136","2","0.1","5","4","0","7.308936787626329","5.452977708779611","1.7331660753951736e-8"
"major-sweep-256","2","0.01","1","4","1","41.97732003093159","41.01320014973302","1.286435787278606e-8"
"quiet-sweep-461","2","1","7","1","1","8.762153522458618","6.395321596600932","7.620934069336727e-9"
"amber-sweep-226","2","1","7","2","0","8.74169269758671","6.3882318304246475","2.1410903173975592e-8"
"hardy-sweep-302","3","0.01","7","1","1","41.29366833287845","40.55504750179168","1.2478345224104085e-8"
"effortless-sweep-422","3","1","3","1","1","7.259935710218777","5.519176746983682","1.3004368701988116e-8"
"bright-sweep-142","3","0.1","7","1","0","7.798404242385341","5.452066306231098","1.5668837036552457e-8"
"worthy-sweep-432","3","1","3","3","1","7.904242610376125","5.826754164369644","1.2990298339066916e-8"
"serene-sweep-292","3","0.01","5","3","1","41.29366833287845","40.55504750179168","1.3641630517516511e-8"
"revived-sweep-22","3","0.01","3","1","0","41.31238150878024","40.57756289101877","1.6884294721598457e-8"
"desert-sweep-47","3","0.01","5","2","0","41.31238150878024","40.57756289101877","1.2902242403293309e-8"
