"Name","Window","n_neighbors","weights","rmse_KNN","mae_KNN","Energy_Consumed"
"polar-sweep-36","4","7","distance","4.0847231697008395","3.071402927881828","6.412724718024442e-9"
"fiery-sweep-30","4","2","distance","4.102184662102906","3.186801093963029","8.578286394317226e-9"
"desert-sweep-33","4","5","uniform","4.146028287638276","3.0884761290322573","4.2676411663301735e-9"
"fiery-sweep-43","5","2","uniform","3.80226276870739","2.9958427419354843","4.116103044301174e-9"
"super-sweep-47","5","5","uniform","3.993120215170088","3.034589677419356","5.321240676923683e-9"
"toasty-sweep-53","5","11","uniform","4.195211755267459","3.144176392961879","4.2717367912498765e-9"
"elated-sweep-52","5","9","distance","3.9956615678185874","2.996989787399885","5.276188802806952e-9"
"sleek-sweep-45","5","3","uniform","4.0144129600722955","3.093911290322581","1.3798160354478264e-8"
"misty-sweep-44","5","2","distance","3.729048663983224","2.9439299695425967","8.583405925466853e-9"
"fancy-sweep-46","5","3","distance","3.905873129914685","3.0258264840575317","8.438011240817407e-9"
"curious-sweep-54","5","11","distance","4.034944547717713","3.0218545231564145","8.210511511555931e-9"
"expert-sweep-50","5","7","distance","3.954977723729375","3.021053589124162","8.837334670488417e-9"
"effortless-sweep-56","5","15","distance","4.336059845129624","3.1523310887753344","8.680618168581431e-9"
"chocolate-sweep-48","5","5","distance","3.901622353513713","2.967718013104488","8.699107329448452e-9"
"mild-sweep-55","5","15","uniform","4.6018747393703805","3.380538817204301","1.2625235406681493e-8"
"major-sweep-51","5","9","uniform","4.139373848138333","3.1221673835125445","4.1191747629909516e-9"
"zesty-sweep-49","5","7","uniform","4.1008032917527","3.127032258064516","4.273784603709727e-9"
"giddy-sweep-70","6","15","distance","4.27714219659318","3.271896965322385","8.589549362846407e-9"
"northern-sweep-57","6","2","uniform","3.8140005773666608","3.091281451612903","4.137605075129613e-9"
"expert-sweep-65","6","9","uniform","3.8719085476786534","2.9045743727598556","4.8809609980556474e-9"
"different-sweep-64","6","7","distance","3.7034920746915665","2.7965354234112234","2.5014029197084004e-8"
"flowing-sweep-67","6","11","uniform","4.16976804725833","3.149297067448681","8.48920655231369e-9"
"sage-sweep-63","6","7","uniform","3.749360465281277","2.8267094470046077","2.1329385247352347e-8"
"warm-sweep-62","6","5","distance","3.7643812307945144","2.827608706856357","4.103816169542067e-9"
"floral-sweep-58","6","2","distance","3.800510067805517","3.0673626384061627","4.143748512509168e-9"
"vibrant-sweep-66","6","9","distance","3.78822741999647","2.858390617679787","8.605931862525217e-9"
"desert-sweep-61","6","5","uniform","3.8127985494832974","2.8525212903225805","5.158439586365502e-9"
"electric-sweep-68","6","11","distance","3.98252981099695","2.9954130977249833","8.13506652308307e-9"
"royal-sweep-60","6","3","distance","3.9412151553420833","3.089574786771372","6.230469409097674e-9"
"lilac-sweep-69","6","15","uniform","4.593063812660257","3.524353655913978","4.449896475256941e-9"
"desert-sweep-59","6","3","uniform","4.0231342710841815","3.1158274193548388","8.714465922897338e-9"
