"Name","Window","Factor","Threshold","Init","rmse_TEDA_pond","rmse_TEDA_stack","rmse_TEDA_major","mae_TEDA_pond","mae_TEDA_stack","mae_TEDA_major","Energy_Consumed"
"warm-sweep-21","2","0.5","3","He","4.69427233872804","4.69427233872804","4.69427233872804","22.036192790147226","22.036192790147226","22.036192790147226","4.2635556746593775e-8"
"glorious-sweep-256","2","0.98","1.8","Yoshua","4.0091233553235535","3.9306380279369737","4.069160772579351","16.073070078200786","15.449915306664264","16.558069393098577","3.7497493952337714e-8"
"misty-sweep-356","2","0.99","1.8","Yoshua","4.023367902405546","3.9445184679759713","4.083801378722752","16.187489278107208","15.559225944203504","16.67743370085785","3.0045504410938726e-8"
"radiant-sweep-151","2","0.75","1.5","Yoshua","3.896822429416016","4.199370261376167","3.9191053246444594","15.185225046399738","17.63471059213054","15.359386545656552","3.852140018226337e-8"
"divine-sweep-6","2","0.5","1.8","He","5.13244857289323","10.129540472937386","4.954825250730621","26.34202835339375","102.60759019287654","24.550293265277755","3.2700493265135973e-8"
"pleasant-sweep-451","2","1","1.5","Yoshua","4.06557967427435","4.288825313886566","4.092090520873492","16.528938087872728","18.394022573034196","16.745204831022686","4.6634833148194353e-8"
"dark-sweep-286","2","0.98","2","zero","5.129453554991537","9.540770832002964","4.997411060417202","26.31129377281532","91.02630806879851","24.974117306780183","3.3240091848306797e-8"
"fiery-sweep-481","2","1","1.8","zero","5.155881280800577","11.98486929195916","5.037805046017725","26.5831117817098","143.63709194534562","25.37947968168166","4.0744265171749965e-8"
"young-sweep-476","2","1","1.5","zero","5.28385098955534","13.22828787811661","5.026649450900831","27.919081279824944","174.98760018632686","25.267204702241624","4.1864454022970676e-8"
"snowy-sweep-211","2","0.98","2","He","3.326149580679726","6.3836073072706965","3.384875760914203","11.06327103305592","40.75044225343984","11.457383916824504","2.9333889581140386e-8"
"rosy-sweep-246","2","0.98","3","Xavier","3.846124215591993","3.846124215591993","3.846124215591993","14.79267148176312","14.792671481763122","14.792671481763122","3.0129464721792635e-8"
"wise-sweep-406","2","1","1.8","He","3.390816188963667","8.836109317834861","3.4199285981761114","11.497634427338086","78.07682787672805","11.695911616622825","3.0012739411581096e-8"
"atomic-sweep-316","2","0.99","2.3","He","3.3935290353844154","3.3935290353844154","3.3935290353844154","11.516039313997082","11.516039313997082","11.516039313997082","2.5354989971649253e-8"
"silver-sweep-411","2","1","2","He","3.345723791030643","6.386693764200213","3.4084141477318073","11.193867685868458","40.78985723767388","11.617287002458342","2.8397149977763553e-8"
"pious-sweep-146","2","0.75","3","Xavier","3.7660630050814143","3.7660630050814135","3.7660630050814135","14.183230558242853","14.183230558242846","14.183230558242846","3.6923082557349425e-8"
"rural-sweep-331","2","0.99","1.8","Xavier","3.805651363924407","4.553389775466679","3.874813675117074","14.4829823037397","20.733358447324488","15.014181016874284","3.0035265348639475e-8"
"silvery-sweep-91","2","0.5","2.3","zero","5.449909177004888","5.449909177004889","5.449909177004889","29.701510037602095","29.7015100376021","29.7015100376021","3.622170678985033e-8"
"misunderstood-sweep-431","2","1","1.8","Xavier","3.817723676055599","4.55907317490425","3.8880847306103368","14.575014066715475","20.78514821413152","15.117202872405256","4.635837846611442e-8"
